allintitle:	"Molecular Epidemiology" 	"Genetic Epidemiology"	"Genomic Epidemiology"
1990-1991	135	81	2
1991-1992	183	89	3
1992-1993	239	97	3
1993-1994	281	115	6
1994-1995	324	109	5
1995-1996	391	117	2
1996-1997	426	152	3
1997-1998	451	145	5
1998-1999	535	155	5
1999-2000	594	192	6
2000-2001	574	199	9
2001-2002	609	222	9
2002-2003	717	228	12
2003-2004	729	244	13
2004-2005	662	262	11
2005-2006	690	241	9
2006-2007	799	230	11
2007-2008	815	202	17
2008-2009	823	186	16
2009-2010	840	191	17
2010-2011	861	184	17
2011-2012	866	189	17
2012-2013	822	207	30
2013-2014	740	179	41
