	"Molecular Epidemiology" 	"Genetic Epidemiology"	"Genomic Epidemiology"	"Epidemiology"
1990	60	40	0	2150
1991	75	46	2	2210
1992	108	43	1	2350
1993	131	54	2	2360
1994	150	61	4	2670
1995	174	48	1	2690
1996	217	69	1	2860
1997	209	83	2	2750
1998	242	62	3	3040
1999	293	93	2	3070
2000	301	99	4	3380
2001	273	100	5	3260
2002	336	122	4	3210
2003	381	106	8	3470
2004	348	138	5	3750
2005	314	124	6	3790
2006	376	117	3	3950
2007	423	113	8	4140
2008	392	89	9	4120
2009	431	97	7	4180
2010	409	94	10	4080
2011	452	90	7	4080
2012	414	99	10	4250
2013	408	108	20	4150
2014	332	71	21	3020
